Country/region,Entries,Latitude,Longitude
Algeria,2,28.0339,1.6596
Bolivia,1,-16.2902,-63.5887
Brazil,2,-14.235,-51.9253
China,4,35.8617,104.1954
Colombia,1,4.5709,-74.2973
Czechia,1,49.8175,15.473
England,3,52.3555,-1.1743
Fiji,1,-17.7134,178.065
Finland,1,61.9241,25.7482
France,2,46.2276,2.2137
Germany,2,51.1657,10.4515
India,7,20.5937,78.9629
Indonesia,5,-0.7893,113.9213
Iran,6,32.4279,53.688
Israel,1,31.0461,34.8516
Italy,3,41.8719,12.5674
Japan,2,36.2048,138.2529
South Korea,1,35.9078,127.7669
Malaysia,1,4.2105,101.9758
Morocco,1,31.7917,-7.0926
Nigeria,2,9.082,8.6753
Norway,1,60.472,8.4689
Philippines,1,12.8797,121.774
Scotland,1,56.4907,-4.2026
Singapore,1,1.3521,103.8198
South Africa,1,-30.5595,22.9375
Sri Lanka,2,7.8731,80.7718
Switzerland,2,46.8182,8.2275
Thailand,1,15.87,100.9925
Türkiye,6,38.9637,35.2433
United Kingdom,1,55.3781,-3.436
USA,5,37.0902,-95.7129
Vietnam,1,14.0583,108.2772
Wales,3,52.1307,-3.7837
Nepal,1,28.3949,84.124
Chile,1,-35.6751,-71.543
Poland,1,51.9194,19.1451
Lebanon,1,33.8547,35.8623
Taiwan,1,23.6978,120.9605
Pakistan,1,30.3753,69.3451
Australia,1,-25.2744,133.7751
Bangladesh,1,23.685,90.3563
Russia,1,61.524,105.3188
Tanzania,1,-6.369,34.8888
Spain,1,40.4637,-3.7492
